City,Country,Population,Size,Average_HH_Size,Number_of_HH,Monthly_Income,Existing_Open_Space,Public_Space_Cost,Percentage_of_HH_in_Need_of_Adequate_Housing_Upgrades,Average_Market_Price_of_an_Adequate_Home,Average_Monthly_Rent_of_an_Adequate_Home,Total_Housing_Cost_from,Total_Governance_Cost
Potosí,Bolivia,195357.12125879695,Medium,3.70474528057925,52731.59325767524,447.9195214755208,0.134832270849,370467054.48656374,0.29783692075693363,38540.810000000005,1566.3,869254102.418472,55865200
Tarija,Bolivia,199284.86240555637,Medium,3.620528967254404,55043.02388075692,607.113819237779,2.083813042827,70438842.5094466,0.2670215977486764,38540.810000000005,1566.3,876750077.0962527,55865200
Yacuiba,Bolivia,68718.26747213946,Small,3.89789249032946,17629.595388438025,537.7,0.32944027672899995,86249502.58535956,0.2937410785386447,38540.810000000005,1566.3,288335361.71829,16247200
Santa Cruz de la Sierra,Bolivia,1600835.8629898746,Large,3.904271439674828,410021.66158898064,655.7359773222715,20.624841791765,556593131.0725379,0.4110783718701219,40860.82000000001,1944.84,8004622126.161935,165095600
La Guardia,Bolivia,82734.49887717603,Small,4.104939651318781,20154.863628895535,655.7359773222715,1.688396291294,28765880.9015925,0.6894245758928867,38540.810000000005,1566.3,415554656.61368704,16247200
Warnes,Bolivia,86476.89592348083,Small,4.0784355517664235,21203.44794611909,655.7359773222715,3.838561813059,30067071.447029818,0.6910801687668073,38540.810000000005,1566.3,437569504.4748963,22600200
Montero,Bolivia,119084.1394645351,Medium,4.061374379810114,29321.14312251676,655.7359773222715,1.866970792936,41404253.60152218,0.5532732139432649,38540.810000000005,1566.3,559620167.0678111,55865200
Trinidad,Bolivia,112791.318808382,Medium,4.181301299589625,26975.17129881359,508.1437756387196,2.491213137032,39216308.64522633,0.6352098906242789,38540.810000000005,1566.3,544952179.8586856,55865200
Riberalta,Bolivia,87425.81332401183,Small,4.49902683574171,19432.16089076713,537.7,1.69330868166,30396999.654725213,0.7991936642318275,38540.810000000005,1566.3,427673569.9670172,22600200
Cobija,Bolivia,48966.357557226496,Small,3.5639434677697377,13739.375497970204,588.7930150575625,1.403877150594,17025067.278972194,0.6801542157439073,38540.810000000005,1566.3,283055297.30587184,16247200
Bogota,Colombia,7289191.035,Large,2.8458153079093123,2561371.7849999997,91.36,31.1220039,5651280676.478447,0.0451,70422,377.07,83024497245.86635,131000000
Medellin,Colombia,2407914.9499999997,Large,2.6591126390039355,905533.265,73.64,3.6,2179535178.597997,0.0727,55808.5,233.28,17650389340.960693,131000000
Cali,Colombia,1850212.035,Large,2.6407866430045996,700629.125,61.12,0.24,3302595510.8638783,0.0572,48180,182.97,13250689510.344463,131000000
Barranquilla,Colombia,1136904.545,Large,3.228074169711921,352192.82,42.71,1.5,564793256.9700472,0.1228,51320.5,249.18,8450784037.743899,131000000
Bucaramanga,Colombia,536787.825,Medium,2.791645991913092,192283.63,61.2,2.377584,514491970.68265486,0.0492,67314.5,147.03,5224236997.851372,44500000
Cartagena,Colombia,901265.19,Medium,3.015158203562722,298911.41,55.55,8.138035619999998,359307143.6842484,0.2458,81136,219.56,9487891786.108446,79500000
Cucuta,Colombia,638855.21,Medium,2.7144187891908675,235356.17,59.47,0,786269741.3731308,0.159,27258,94.1,2475235553.3387113,44500000
Pereira,Colombia,415815.05,Medium,2.361768487077638,176060.885,75.66,1.43967015,223265693.0137612,0.0638,27412.000000000004,125.46,1676317146.1841297,44500000
Santa Marta,Colombia,487050.7949999999,Medium,2.742926226978084,177566.12999999998,65.93583333333333,0,707006742.0621145,0.3048,43485.75000000001,136.37500000000003,3121259069.7822356,44500000
